ID,City A,City B,Distance,Time of Day,Weather,Traffic,Road Quality,Driver Experience,deliver_time
50,Cluj-Napoca,Pitesti,331,463,Clear,671.0694533412632,240,27,339
51,Bacau,Pitesti,429,835,Fog,919.1380677677777,733,13,453
52,Botosani,Iasi,109,49,Snow,172.23040768093833,951,5,129
53,Cluj-Napoca,Vaslui,427,835,Rain,923.4240667992831,726,38,432
54,Cluj-Napoca,Braila,514,1438,Rain,6.674199605696485,920,30,483
55,Targoviste,Targu Mures,280,759,Rain,533.6414355451003,120,34,298
56,Timisoara,Barlad,649,1024,Fog,631.2339477740891,335,35,639
57,Bacau,Craiova,545,555,Rain,452.3113797865508,902,6,529
58,Focsani,Targu Mures,318,662,Rain,59.27133286204311,800,1,320
59,Barlad,Targoviste,302,82,Snow,678.643295774455,956,13,320
60,Alba Iulia,Suceava,389,995,Snow,923.8933256821202,380,38,405
61,Deva,Craiova,255,721,Snow,465.57993108807995,900,15,274
62,Targu Mures,Ploiesti,283,669,Fog,563.7556166682612,583,22,310
63,Deva,Satu Mare,347,369,Snow,409.78841428903735,863,34,342
64,Satu Mare,Baia Mare,59,1098,Clear,367.25151330735673,610,13,92
65,Vaslui,Resita,669,1198,Rain,522.7289158406911,718,25,641
66,Pitesti,Iasi,526,956,Rain,958.1913494609469,45,8,551
67,Braila,Drobeta-Turnu Severin,561,700,Rain,911.562806112288,356,10,567
68,Roman,Oradea,488,796,Rain,108.13769552265052,981,11,467
69,Ploiesti,Pitesti,128,744,Clear,266.76512449088295,781,30,139
70,Oradea,Alba Iulia,246,584,Fog,585.940381767003,690,7,284
71,Galati,Targoviste,253,653,Fog,305.2227446121628,949,20,265
72,Constanta,Hunedoara,622,766,Clear,607.7004940500385,991,24,591
73,Slatina,Barlad,469,167,Fog,562.0312032082708,629,27,467
74,Botosani,Pitesti,588,304,Clear,273.26918920090526,197,34,560
75,Suceava,Bucuresti,460,403,Clear,684.0835088979107,271,23,462
76,Vaslui,Sibiu,435,164,Clear,409.7608988122027,500,16,429
77,Baia Mare,Drobeta-Turnu Severin,510,1240,Rain,534.4915929086792,639,39,497
78,Pitesti,Suceava,577,782,Rain,792.1542993809819,754,27,565
79,Alba Iulia,Timisoara,220,622,Snow,961.0503777852905,560,26,256
80,Bucuresti,Deva,396,1265,Rain,980.2761389686781,67,13,433
81,Baia Mare,Bacau,413,988,Snow,50.93876212002812,772,17,406
82,Cluj-Napoca,Baia Mare,142,721,Rain,811.949068876558,692,2,188
83,Constanta,Vaslui,361,1231,Clear,389.25693187058516,850,7,366
84,Ploiesti,Iasi,376,570,Fog,392.2836791218253,70,30,394
85,Roman,Drobeta-Turnu Severin,697,43,Rain,412.151482735863,245,1,680
86,Deva,Slatina,317,78,Rain,381.4943834009109,795,3,325
87,Slatina,Tulcea,494,832,Rain,233.85257276183702,565,15,482
88,Arad,Resita,159,1114,Clear,680.828573929936,30,22,196
89,Slatina,Bucuresti,180,344,Clear,166.70057633274084,996,26,172
90,Slatina,Barlad,469,1094,Clear,492.8039449432754,528,14,466
91,Drobeta-Turnu Severin,Hunedoara,210,951,Rain,231.60297091889703,12,22,236
92,Baia Mare,Brasov,364,453,Clear,57.0720968994185,645,13,352
93,Ploiesti,Drobeta-Turnu Severin,353,759,Snow,1.7039706220465245,214,15,362
94,Oradea,Arad,116,472,Clear,818.4496010111053,783,2,155
95,Buzau,Tulcea,212,939,Snow,958.4221949361398,61,14,268
96,Ramnicu Valcea,Satu Mare,447,691,Rain,941.5765057616218,883,20,451
97,Hunedoara,Tulcea,692,1195,Fog,467.9024119568139,626,20,677
98,Brasov,Ploiesti,110,939,Fog,590.060834966537,444,25,155
99,Cluj-Napoca,Constanta,687,561,Snow,182.35552078829798,497,12,658
100,Roman,Targu Mures,238,1115,Clear,394.6011467388718,857,21,242
101,Ramnicu Valcea,Vaslui,521,1092,Fog,819.5836027739495,166,18,541
102,Ploiesti,Brasov,110,1111,Clear,747.9492062767017,600,22,145
103,Sibiu,Vaslui,435,443,Clear,88.48655888335955,886,8,416
104,Hunedoara,Drobeta-Turnu Severin,210,570,Rain,562.157872339796,393,32,229
105,Iasi,Resita,665,232,Snow,671.8013956677958,908,33,633
106,Satu Mare,Focsani,591,9,Fog,589.8248908264512,420,34,578
107,Arad,Bacau,622,1255,Rain,61.226049198030985,977,32,579
108,Focsani,Bucuresti,204,540,Fog,20.798264272846367,940,22,210
109,Baia Mare,Roman,371,915,Fog,361.428943565693,451,31,381
110,Buzau,Barlad,170,104,Fog,924.1582040502077,620,13,214
111,Focsani,Satu Mare,591,1404,Clear,221.91257673859,770,36,555
112,Bacau,Baia Mare,413,1307,Fog,616.8137961380784,419,18,436
113,Hunedoara,Galati,532,1172,Clear,768.8393504407353,647,40,517
114,Drobeta-Turnu Severin,Alba Iulia,276,662,Snow,901.9826864685738,457,7,317
115,Tulcea,Satu Mare,927,657,Snow,897.2729021727387,979,9,892
116,Tulcea,Vaslui,242,832,Rain,234.37388338338317,276,12,265
117,Drobeta-Turnu Severin,Iasi,751,670,Rain,553.5261894270951,923,16,716
118,Galati,Cluj-Napoca,510,1013,Clear,792.5754805377552,661,25,503
119,Arad,Drobeta-Turnu Severin,262,588,Fog,85.06825768179127,663,38,265
120,Brasov,Botosani,349,262,Rain,817.0680532510546,85,33,367
121,Drobeta-Turnu Severin,Cluj-Napoca,374,531,Snow,819.4165177818512,768,30,384
122,Brasov,Iasi,320,651,Snow,632.6736872197756,511,23,342
123,Focsani,Barlad,85,771,Clear,640.7948534436143,628,31,111
124,Iasi,Buzau,291,898,Fog,864.9580168333937,724,9,331
125,Satu Mare,Braila,679,164,Fog,672.0173647003489,888,39,649
126,Iasi,Buzau,291,793,Clear,81.99699265946015,465,6,296
127,Vaslui,Barlad,53,138,Snow,720.1972089472224,174,9,111
128,Roman,Resita,587,809,Clear,571.9819554557373,317,6,582
129,Suceava,Slatina,638,368,Snow,31.58541053097863,68,20,617
130,Baia Mare,Ploiesti,478,1068,Clear,979.6576760410262,933,12,482
131,Focsani,Resita,594,1190,Clear,239.09595433066465,201,40,566
132,Deva,Oradea,192,1122,Snow,901.3817978677425,294,15,245
133,Barlad,Slatina,469,1399,Fog,553.0804735058421,450,28,482
134,Bucuresti,Arad,570,1155,Snow,810.4584100956502,683,2,585
135,Bucuresti,Drobeta-Turnu Severin,343,607,Snow,847.7675875068686,547,5,373
136,Vaslui,Ploiesti,316,1193,Fog,698.679095458702,398,16,356
137,Roman,Iasi,87,170,Snow,285.15843787727357,372,11,126
138,Iasi,Arad,692,361,Fog,427.16700567297784,215,25,681
139,Baia Mare,Botosani,336,1359,Fog,167.38359721835272,421,6,360
140,Bacau,Galati,187,159,Clear,367.29155891640653,634,37,188
141,Arad,Suceava,636,134,Snow,86.9187469729158,876,40,591
142,Vaslui,Galati,155,1315,Rain,0.8575804114290264,165,35,169
143,Constanta,Bacau,391,1329,Clear,143.05667241576435,562,2,395
144,Deva,Constanta,623,990,Fog,467.20320408566516,450,8,630
145,Bucuresti,Sibiu,268,1220,Snow,543.9544913222601,958,23,285
146,Brasov,Bucuresti,183,1075,Fog,718.3936598645272,603,37,217
147,Bacau,Targoviste,322,808,Rain,441.6063899200523,79,14,348
148,Pitesti,Brasov,140,562,Snow,906.5982613689404,885,26,176
149,Hunedoara,Pitesti,283,1255,Snow,29.205284126377904,641,25,289
150,Tulcea,Focsani,187,286,Fog,850.932144090882,268,16,237
151,Brasov,Sibiu,144,253,Snow,674.3538030525569,56,18,190
152,Targu Mures,Constanta,571,797,Fog,491.47789376170414,760,32,557
153,Suceava,Galati,318,808,Fog,754.9316633836812,630,35,337
154,Arad,Ploiesti,553,707,Snow,117.11341595983926,641,18,531
155,Ramnicu Valcea,Timisoara,369,535,Rain,717.6382260376798,52,18,389
156,Baia Mare,Constanta,766,1123,Fog,80.4803630815415,152,10,744
157,Braila,Timisoara,705,791,Snow,525.0037226844144,931,22,677
158,Barlad,Buzau,170,1332,Rain,682.0110395189354,102,29,211
159,Ramnicu Valcea,Targu Mures,220,901,Fog,121.43462669647987,361,2,253
160,Targoviste,Suceava,470,1354,Clear,951.6267279003973,467,22,478
161,Craiova,Roman,589,445,Snow,454.37924124709815,323,21,579
162,Craiova,Ramnicu Valcea,129,186,Clear,67.89250156683524,604,24,134
163,Bucuresti,Baia Mare,581,199,Fog,563.8255518084834,962,21,565
164,Brasov,Iasi,320,1410,Fog,459.34901206412303,500,13,346
165,Focsani,Bucuresti,204,1422,Snow,867.41723142183,540,14,253
166,Craiova,Timisoara,341,489,Fog,613.162793016652,41,25,370
167,Resita,Baia Mare,460,575,Fog,652.920394658741,679,18,469
168,Deva,Suceava,463,369,Rain,543.516679225516,637,30,452
169,Buzau,Roman,236,920,Snow,542.4675794152743,707,38,251
170,Bucuresti,Resita,505,1278,Snow,650.2908874175297,857,12,513
171,Focsani,Tulcea,187,963,Snow,429.09666128721625,399,15,220
172,Bacau,Suceava,147,483,Snow,652.1411118759358,579,5,190
173,Hunedoara,Arad,201,864,Rain,234.07001341138667,17,32,225
174,Galati,Vaslui,155,1244,Fog,94.35641267770878,154,31,187
175,Iasi,Craiova,642,311,Clear,332.77794975782126,201,20,613
176,Ramnicu Valcea,Oradea,420,506,Fog,333.7543134002955,910,33,416
177,Slatina,Bucuresti,180,902,Snow,529.7679759922855,685,10,213
178,Hunedoara,Slatina,316,497,Clear,844.498635916026,416,26,331
179,Slatina,Braila,398,376,Snow,404.0979368587296,765,34,388
180,Braila,Brasov,297,1424,Rain,400.75094976312806,413,14,319
181,Oradea,Alba Iulia,246,65,Rain,547.742287871028,277,16,269
182,Roman,Craiova,589,99,Clear,24.64692571451266,118,16,561
183,Sibiu,Hunedoara,121,364,Fog,344.73144140006815,107,24,163
184,Bacau,Ploiesti,283,773,Rain,368.5388259917882,544,2,306
185,Alba Iulia,Satu Mare,273,61,Clear,716.3903984378933,325,27,291
186,Bacau,Galati,187,1319,Snow,145.3783396214765,721,26,206
187,Pitesti,Constanta,345,183,Rain,532.2611689760661,41,29,356
188,Iasi,Deva,518,632,Rain,820.3045449755872,128,28,522
189,Slatina,Targu Mures,307,1061,Snow,898.5652978030581,518,16,344
190,Arad,Alba Iulia,253,837,Snow,739.2162215408855,494,1,294
191,Galati,Botosani,333,1293,Fog,427.0351891046782,355,14,366
192,Cluj-Napoca,Resita,324,345,Clear,626.0878469612584,35,25,341
193,Braila,Oradea,657,604,Rain,208.68081194001954,707,10,628
194,Sibiu,Hunedoara,121,520,Rain,450.8843843560332,521,6,161
195,Craiova,Botosani,704,1195,Snow,866.443589933118,330,5,709
196,Targoviste,Hunedoara,349,421,Clear,434.3313583591017,264,27,352
197,Arad,Focsani,621,1202,Clear,253.58659675168172,917,23,584
198,Iasi,Targu Mures,316,914,Fog,984.1395805284027,168,20,356
199,Arad,Constanta,797,567,Snow,627.3477842976893,628,28,762
200,Botosani,Brasov,349,1337,Snow,668.8290170673439,871,17,365
201,Deva,Craiova,255,942,Fog,985.109694867713,244,14,309
202,Pitesti,Botosani,588,1326,Snow,352.3725291785774,221,17,586
203,Constanta,Cluj-Napoca,687,734,Clear,138.57639711672664,845,6,649
204,Botosani,Ramnicu Valcea,645,1086,Clear,206.89767628503807,43,2,634
205,Roman,Craiova,589,784,Fog,730.3756003051317,210,40,587
206,Hunedoara,Ramnicu Valcea,229,926,Rain,215.68853157226243,187,19,251
207,Ramnicu Valcea,Alba Iulia,180,643,Fog,359.30082398587126,496,19,211
208,Ploiesti,Craiova,245,331,Clear,753.2603448229978,381,6,279
209,Vaslui,Targoviste,358,571,Snow,676.6466539279747,845,16,373
210,Oradea,Drobeta-Turnu Severin,375,1338,Snow,45.432759151687875,925,40,361
211,Resita,Deva,158,417,Clear,548.0627777580506,942,23,168
212,Cluj-Napoca,Ploiesti,386,1289,Clear,987.3016686542844,815,34,391
213,Resita,Drobeta-Turnu Severin,159,340,Clear,916.4244037115334,906,21,187
214,Drobeta-Turnu Severin,Barlad,631,1040,Clear,244.61322984560474,710,18,598
215,Resita,Galati,743,790,Snow,574.2133434231486,918,24,708
216,Targu Mures,Barlad,335,218,Clear,135.81541108236706,415,30,323
217,Pitesti,Suceava,577,923,Fog,779.8649079921994,150,5,600
218,Resita,Cluj-Napoca,324,914,Fog,786.5863496893908,553,32,353
219,Slatina,Arad,426,161,Clear,7.528489242823233,147,35,407
220,Baia Mare,Ramnicu Valcea,413,570,Clear,79.53500144564485,785,16,393
221,Sibiu,Timisoara,268,1303,Clear,601.6105651832371,441,26,287
222,Drobeta-Turnu Severin,Pitesti,234,694,Snow,631.5486067657484,8,6,281
223,Hunedoara,Focsani,447,50,Rain,671.1315673475937,260,9,461
224,Drobeta-Turnu Severin,Ramnicu Valcea,197,641,Fog,360.3291491094951,888,17,225
225,Barlad,Roman,111,685,Snow,233.4286467877027,656,37,126
226,Tulcea,Targu Mures,510,118,Fog,374.43146873566104,748,3,505
227,Barlad,Arad,682,385,Fog,111.77179873309528,148,7,670
228,Buzau,Roman,236,211,Rain,314.2855576015018,561,15,251
229,Baia Mare,Craiova,542,10,Clear,183.66244843230396,886,35,499
230,Oradea,Suceava,454,594,Clear,728.3066630501082,844,13,451
231,Pitesti,Deva,283,82,Fog,723.0457518377341,110,25,316
232,Timisoara,Resita,98,124,Fog,551.9809599557645,432,26,137
233,Botosani,Pitesti,588,1433,Rain,2.252605910069483,422,6,574
234,Satu Mare,Iasi,470,1336,Rain,596.7511117351107,876,18,471
235,Timisoara,Pitesti,423,1111,Clear,248.04369433887098,308,8,426
236,Ramnicu Valcea,Braila,395,1240,Clear,427.29571428952573,708,16,395
237,Vaslui,Brasov,295,1047,Rain,924.8899782151127,360,10,335
238,Suceava,Bacau,147,788,Clear,813.6805236094523,153,7,197
239,Cluj-Napoca,Drobeta-Turnu Severin,374,360,Snow,853.4518231869143,605,4,400
240,Suceava,Deva,463,1170,Fog,959.7548143884593,472,15,490
241,Alba Iulia,Targoviste,300,993,Clear,633.3358966474684,167,30,317
242,Resita,Arad,159,447,Rain,712.0406119242955,555,22,188
243,Galati,Botosani,333,374,Rain,155.0927454189922,310,5,341
244,Baia Mare,Braila,584,466,Clear,30.873451983511547,681,11,549
245,Ramnicu Valcea,Baia Mare,413,510,Fog,388.88573439017216,370,10,431
246,Roman,Galati,213,1275,Fog,971.624493402279,589,7,270
247,Cluj-Napoca,Targu Mures,112,1165,Clear,666.1565447754239,395,8,153
248,Oradea,Craiova,486,1234,Rain,935.3057558258985,848,11,495
249,Drobeta-Turnu Severin,Cluj-Napoca,374,13,Fog,653.0105795811584,465,10,398
250,Hunedoara,Roman,439,945,Snow,43.4197265297871,260,2,449
251,Slatina,Arad,426,1348,Clear,596.9816505921832,960,38,413
252,Barlad,Galati,102,457,Clear,823.5433723102435,387,6,147
253,Buzau,Cluj-Napoca,470,150,Rain,505.75290417541305,373,35,462
254,Resita,Targu Mures,353,906,Snow,148.00859122286803,494,4,365
255,Focsani,Roman,151,727,Snow,613.1010173481585,39,3,206
256,Bacau,Arad,622,782,Clear,311.79774454380726,793,20,588
257,Satu Mare,Hunedoara,347,773,Fog,619.3434830004065,736,33,357
258,Sibiu,Brasov,144,493,Fog,564.2571354490689,887,25,171
259,Oradea,Timisoara,171,161,Snow,185.93712219499736,77,22,195
260,Roman,Buzau,236,457,Snow,185.554929150331,30,38,254
261,Drobeta-Turnu Severin,Brasov,374,1257,Rain,33.16498573764925,311,20,373
262,Slatina,Drobeta-Turnu Severin,162,120,Clear,909.1283932328647,58,33,194
263,Cluj-Napoca,Timisoara,318,1299,Fog,807.8613047898979,419,38,347
264,Botosani,Bucuresti,470,941,Rain,811.5247148463711,390,24,479
265,Buzau,Satu Mare,637,558,Rain,173.57891625413623,442,4,615
266,Targu Mures,Focsani,318,1347,Rain,87.44057976184583,894,3,323
267,Hunedoara,Oradea,208,328,Rain,51.732714264233536,260,38,208
268,Vaslui,Hunedoara,521,873,Clear,217.45773736519425,680,11,502
269,Galati,Oradea,650,191,Snow,109.48693541784426,120,23,626
270,Vaslui,Drobeta-Turnu Severin,687,587,Rain,43.09301541718269,648,15,649
271,Ploiesti,Bucuresti,78,922,Clear,41.84120840814598,383,9,105
272,Constanta,Barlad,309,1102,Clear,722.3027937180851,564,2,335
273,Constanta,Craiova,461,282,Clear,482.7250257933672,777,21,446
274,Alba Iulia,Roman,365,1282,Clear,510.9328402677955,814,11,371
275,Focsani,Constanta,284,1361,Clear,746.7729969975087,945,27,293
276,Suceava,Barlad,216,1102,Snow,426.7009741665284,494,10,252
277,Bucuresti,Craiova,234,1217,Snow,465.4886172242017,781,25,255
278,Bucuresti,Botosani,470,1425,Fog,559.7657987129373,99,12,500
279,Alba Iulia,Iasi,443,249,Fog,993.4450425500856,454,28,461
280,Bucuresti,Tulcea,298,529,Rain,523.6196395996752,944,12,310
281,Barlad,Vaslui,53,800,Rain,511.72292866652316,237,9,103
282,Ploiesti,Roman,326,1048,Rain,256.7386185374996,423,23,333
283,Bacau,Ploiesti,283,1288,Snow,573.7355662891372,239,5,320
284,Ramnicu Valcea,Suceava,635,276,Clear,481.0667700909014,964,35,591
285,Iasi,Satu Mare,470,871,Snow,975.7240072887308,614,12,491
286,Targoviste,Hunedoara,349,1121,Clear,537.3890191274385,428,6,367
287,Slatina,Tulcea,494,960,Rain,763.3003254041461,716,27,491
288,Alba Iulia,Pitesti,234,611,Rain,676.4543242604504,174,33,259
289,Targoviste,Botosani,480,146,Clear,657.6310057494974,315,37,464
290,Pitesti,Slatina,70,530,Rain,97.00035443248967,265,14,104
291,Cluj-Napoca,Braila,514,995,Fog,536.3764258063461,207,11,532
292,Hunedoara,Buzau,460,1078,Fog,344.59871700141343,528,11,471
293,Ramnicu Valcea,Suceava,635,4,Rain,911.0316820175395,961,31,608
294,Brasov,Focsani,178,111,Snow,239.89847104358785,531,7,204
295,Vaslui,Tulcea,242,1148,Clear,286.16518712232977,288,37,253
296,Arad,Timisoara,60,331,Rain,466.8647840852085,656,33,88
297,Galati,Botosani,333,1299,Clear,425.9298051935282,895,25,330
298,Alba Iulia,Craiova,308,100,Snow,199.36873799508282,494,3,324
299,Focsani,Braila,90,282,Fog,179.23817571844546,146,24,127
300,Vaslui,Barlad,53,299,Snow,363.9632828442456,253,6,100
301,Braila,Craiova,470,588,Rain,792.3308626384369,902,39,458
302,Resita,Vaslui,669,220,Clear,159.72843673322203,475,22,630
303,Ploiesti,Ramnicu Valcea,186,279,Clear,314.514481569754,862,27,185
304,Hunedoara,Slatina,316,805,Fog,563.8549087999118,506,30,336
305,Buzau,Bucuresti,119,156,Rain,389.82972154718465,69,37,145
306,Constanta,Baia Mare,766,770,Fog,218.61966082416185,751,22,728
307,Suceava,Brasov,338,1353,Snow,380.71225703164845,644,27,351
308,Bacau,Hunedoara,456,807,Snow,380.08416147123324,540,20,456
309,Slatina,Deva,317,465,Snow,125.88356208476159,211,10,333
310,Bacau,Targoviste,322,410,Fog,380.50935887140014,108,15,351
311,Slatina,Constanta,406,870,Snow,448.44676610197575,531,37,403
312,Baia Mare,Bacau,413,833,Clear,495.5771065918941,322,40,407
313,Slatina,Suceava,638,1261,Fog,434.4087177797975,640,24,625
314,Drobeta-Turnu Severin,Tulcea,657,1045,Fog,38.71455187712725,903,32,621
315,Alba Iulia,Hunedoara,79,1384,Fog,738.0173015178401,189,1,155
316,Sibiu,Slatina,187,1257,Fog,750.6991972838778,187,9,245
317,Oradea,Targu Mures,255,1414,Snow,905.9468878892815,561,5,299
318,Ramnicu Valcea,Iasi,585,397,Clear,740.4721989945031,689,11,571
319,Craiova,Constanta,461,988,Snow,981.3401589304237,347,3,491
320,Oradea,Buzau,613,922,Fog,787.2100295017476,169,16,624
321,Focsani,Baia Mare,495,1423,Rain,461.1662756364464,109,39,491
322,Tulcea,Brasov,468,581,Rain,52.21592531609631,288,21,455
323,Sibiu,Focsani,318,417,Clear,780.1082430826236,381,36,327
324,Brasov,Focsani,178,801,Fog,236.1955703411863,526,34,200
325,Barlad,Ploiesti,260,1421,Snow,752.35388407852,13,17,310
326,Braila,Alba Iulia,514,1386,Snow,278.97988303193745,260,17,517
327,Drobeta-Turnu Severin,Satu Mare,515,49,Fog,951.8605912912626,609,4,536
328,Targoviste,Buzau,130,787,Snow,501.8641544805531,111,10,180
329,Bucuresti,Sibiu,268,902,Rain,67.27330541106957,909,30,261
330,Hunedoara,Botosani,505,1268,Snow,332.6610981476291,810,16,498
331,Baia Mare,Deva,313,1089,Clear,389.1520573151607,560,13,324
332,Constanta,Tulcea,132,302,Fog,78.23516997157465,98,17,168
333,Alba Iulia,Timisoara,220,1304,Clear,151.42612602784666,834,16,229
334,Buzau,Oradea,613,131,Rain,372.3351898046714,38,22,600
335,Focsani,Timisoara,587,271,Rain,941.0088964468387,677,15,582
336,Galati,Brasov,267,323,Clear,588.943878298664,698,35,267
337,Hunedoara,Alba Iulia,79,1237,Clear,221.28715523543562,933,11,96
338,Suceava,Drobeta-Turnu Severin,801,1260,Clear,670.2797422244984,101,39,768
339,Constanta,Ramnicu Valcea,404,14,Rain,838.8482072845508,782,4,416
340,Botosani,Constanta,550,737,Snow,460.8161271536795,543,4,552
341,Focsani,Tulcea,187,771,Clear,341.91968471987155,638,39,194
342,Resita,Buzau,622,198,Rain,458.93994095318055,411,39,592
343,Barlad,Oradea,581,1400,Clear,943.8456474825892,63,31,585
344,Constanta,Vaslui,361,681,Snow,207.24779576008257,198,14,375
345,Botosani,Alba Iulia,432,43,Rain,790.3188335044006,614,35,426
346,Timisoara,Galati,677,189,Clear,436.79894733912414,943,23,635
347,Tulcea,Sibiu,580,1280,Fog,468.8436721900414,654,30,574
348,Bacau,Constanta,391,1345,Clear,43.90012427972956,935,25,371
349,Botosani,Satu Mare,395,781,Clear,484.4797249860695,797,31,383
350,Iasi,Arad,692,823,Fog,925.8723874825462,684,27,681
351,Oradea,Satu Mare,140,1101,Rain,987.5113097492911,998,5,185
352,Constanta,Botosani,550,1181,Fog,655.7374814236321,803,22,549
353,Buzau,Cluj-Napoca,470,1235,Snow,421.1112934641126,39,9,495
354,Galati,Resita,743,1164,Fog,852.3688058717578,499,28,733
355,Slatina,Botosani,648,71,Clear,520.4693873542079,510,39,611
356,Bacau,Cluj-Napoca,362,124,Clear,910.2310753771932,354,26,371
357,Timisoara,Botosani,646,209,Snow,355.67799676940837,226,26,627
358,Targoviste,Timisoara,489,1064,Fog,651.3382315558805,719,26,494
359,Craiova,Buzau,353,1123,Snow,382.86259946777267,644,1,374
360,Roman,Hunedoara,439,1194,Rain,226.5004315367397,957,23,423
361,Targu Mures,Buzau,367,1349,Rain,844.4694712665403,752,8,390
362,Craiova,Hunedoara,239,1293,Rain,393.791203408256,399,18,265
363,Barlad,Ramnicu Valcea,465,998,Rain,405.3089274885675,634,27,455
364,Sibiu,Tulcea,580,527,Rain,802.1822291115262,572,3,580
365,Cluj-Napoca,Buzau,470,1240,Rain,377.5004741775234,557,23,465
366,Buzau,Suceava,341,427,Rain,549.2769495232857,578,22,346
367,Timisoara,Baia Mare,372,984,Fog,370.0683369289811,153,24,395
368,Oradea,Ploiesti,530,385,Snow,199.6108894518497,113,25,522
369,Pitesti,Focsani,322,488,Clear,908.0627858624072,780,22,334
370,Drobeta-Turnu Severin,Deva,261,233,Fog,992.1834326387677,916,29,286
371,Brasov,Ramnicu Valcea,166,1226,Snow,251.2358909626713,72,20,207
372,Constanta,Tulcea,132,602,Clear,999.225173683979,45,2,189
373,Targoviste,Alba Iulia,300,1289,Fog,8.017254479534387,129,15,324
374,Botosani,Focsani,265,1401,Fog,378.52804850342216,139,19,306
375,Galati,Targu Mures,404,161,Fog,119.00706423767637,787,40,386
376,Ploiesti,Baia Mare,478,1041,Rain,703.8086073401096,539,7,490
377,Botosani,Targu Mures,321,539,Fog,440.43438234803745,424,25,343
378,Ramnicu Valcea,Sibiu,100,1177,Fog,445.5597880296232,863,26,135
379,Braila,Vaslui,176,996,Fog,590.1378700916222,612,28,211
380,Oradea,Deva,192,1244,Rain,372.062775034666,552,11,219
381,Cluj-Napoca,Targu Mures,112,223,Snow,131.55740918025683,737,34,131
