image_id,label,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax
img_0092,1,122.0,138.0,300.0,367.0
img_0093,0,-1.0,-1.0,-1.0,-1.0
img_0094,0,-1.0,-1.0,-1.0,-1.0
img_0095,0,-1.0,-1.0,-1.0,-1.0
img_0096,0,-1.0,-1.0,-1.0,-1.0
img_0097,0,-1.0,-1.0,-1.0,-1.0
img_0098,1,36.0,132.0,180.0,315.0
img_0099,1,187.0,242.0,388.0,506.0
img_0100,0,-1.0,-1.0,-1.0,-1.0
img_0101,1,79.0,29.0,316.0,314.0
img_0102,1,233.0,188.0,371.0,370.0
img_0103,1,347.0,54.0,493.0,229.0
img_0104,0,-1.0,-1.0,-1.0,-1.0
img_0105,1,71.0,39.0,256.0,260.0
img_0106,1,52.0,46.0,211.0,250.0
img_0108,0,-1.0,-1.0,-1.0,-1.0
img_0109,1,130.0,164.0,341.0,430.0
img_0110,0,-1.0,-1.0,-1.0,-1.0
img_0112,1,251.0,77.0,397.0,249.0
img_0113,0,-1.0,-1.0,-1.0,-1.0
img_0114,1,248.0,254.0,414.0,468.0
img_0115,1,235.0,10.0,441.0,267.0
img_0116,0,-1.0,-1.0,-1.0,-1.0
img_0117,0,-1.0,-1.0,-1.0,-1.0
img_0118,1,221.0,175.0,383.0,380.0
img_0119,1,61.0,244.0,269.0,496.0
img_0120,1,132.0,288.0,281.0,465.0
img_0122,0,-1.0,-1.0,-1.0,-1.0
img_0123,0,-1.0,-1.0,-1.0,-1.0
img_0124,0,-1.0,-1.0,-1.0,-1.0
img_0125,0,-1.0,-1.0,-1.0,-1.0
img_0126,0,-1.0,-1.0,-1.0,-1.0
img_0127,0,-1.0,-1.0,-1.0,-1.0
img_0128,1,266.0,46.0,471.0,310.0
img_0129,0,-1.0,-1.0,-1.0,-1.0
img_0130,1,50.0,247.0,194.0,433.0
img_0131,0,-1.0,-1.0,-1.0,-1.0
img_0132,0,-1.0,-1.0,-1.0,-1.0
img_0134,1,28.0,65.0,230.0,308.0
img_0135,1,164.0,15.0,382.0,290.0
img_0136,0,-1.0,-1.0,-1.0,-1.0
img_0137,0,-1.0,-1.0,-1.0,-1.0
img_0138,1,68.0,170.0,296.0,469.0
img_0140,1,258.0,331.0,388.0,501.0
img_0141,1,175.0,114.0,395.0,402.0
img_0142,1,170.0,94.0,306.0,270.0
img_0143,0,-1.0,-1.0,-1.0,-1.0
img_0144,1,261.0,85.0,488.0,374.0
img_0145,1,165.0,160.0,373.0,416.0
img_0146,1,135.0,1.0,307.0,227.0
img_0147,1,329.0,258.0,510.0,484.0
img_0148,1,197.0,148.0,409.0,398.0
img_0149,0,-1.0,-1.0,-1.0,-1.0
img_0150,0,-1.0,-1.0,-1.0,-1.0
img_0151,1,19.0,83.0,248.0,379.0
img_0152,1,280.0,14.0,417.0,185.0
img_0154,0,-1.0,-1.0,-1.0,-1.0
img_0155,0,-1.0,-1.0,-1.0,-1.0
img_0156,0,-1.0,-1.0,-1.0,-1.0
img_0157,0,-1.0,-1.0,-1.0,-1.0
img_0158,0,-1.0,-1.0,-1.0,-1.0
img_0160,0,-1.0,-1.0,-1.0,-1.0
img_0161,1,160.0,210.0,365.0,472.0
img_0164,0,-1.0,-1.0,-1.0,-1.0
img_0165,1,144.0,304.0,295.0,493.0
img_0166,1,264.0,249.0,419.0,434.0
img_0167,0,-1.0,-1.0,-1.0,-1.0
img_0168,0,-1.0,-1.0,-1.0,-1.0
img_0170,0,-1.0,-1.0,-1.0,-1.0
img_0171,0,-1.0,-1.0,-1.0,-1.0
img_0172,0,-1.0,-1.0,-1.0,-1.0
img_0173,0,-1.0,-1.0,-1.0,-1.0
img_0176,1,230.0,218.0,468.0,508.0
img_0177,0,-1.0,-1.0,-1.0,-1.0
img_0178,0,-1.0,-1.0,-1.0,-1.0
img_0179,1,118.0,80.0,290.0,301.0
img_0180,1,52.0,108.0,255.0,371.0
img_0181,0,-1.0,-1.0,-1.0,-1.0
img_0182,1,220.0,37.0,438.0,318.0
img_0183,1,197.0,132.0,400.0,391.0
img_0184,0,-1.0,-1.0,-1.0,-1.0
img_0186,1,83.0,249.0,297.0,508.0
img_0187,1,299.0,201.0,468.0,417.0
img_0188,1,57.0,238.0,264.0,489.0
img_0190,1,97.0,67.0,282.0,310.0
img_0191,1,319.0,206.0,465.0,381.0
img_0192,1,95.0,152.0,234.0,329.0
img_0193,0,-1.0,-1.0,-1.0,-1.0
img_0194,1,68.0,157.0,238.0,358.0
img_0195,1,151.0,41.0,375.0,308.0
img_0197,0,-1.0,-1.0,-1.0,-1.0
img_0198,0,-1.0,-1.0,-1.0,-1.0
img_0200,1,21.0,280.0,169.0,457.0
img_0202,0,-1.0,-1.0,-1.0,-1.0
img_0203,0,-1.0,-1.0,-1.0,-1.0
img_0204,1,304.0,111.0,442.0,292.0
img_0206,1,124.0,100.0,309.0,325.0
img_0207,0,-1.0,-1.0,-1.0,-1.0
img_0208,1,81.0,60.0,269.0,292.0
img_0210,0,-1.0,-1.0,-1.0,-1.0
img_0211,1,131.0,150.0,357.0,444.0
img_0212,0,-1.0,-1.0,-1.0,-1.0
img_0214,0,-1.0,-1.0,-1.0,-1.0
img_0215,1,78.0,201.0,264.0,442.0
img_0216,1,231.0,213.0,448.0,496.0
img_0217,1,93.0,270.0,235.0,454.0
img_0219,0,-1.0,-1.0,-1.0,-1.0
img_0220,1,46.0,33.0,247.0,282.0
img_0221,0,-1.0,-1.0,-1.0,-1.0
img_0222,1,164.0,53.0,330.0,264.0
img_0223,0,-1.0,-1.0,-1.0,-1.0
img_0224,1,142.0,90.0,343.0,336.0
img_0225,0,-1.0,-1.0,-1.0,-1.0
img_0227,1,66.0,270.0,239.0,497.0
img_0228,0,-1.0,-1.0,-1.0,-1.0
img_0229,1,56.0,43.0,283.0,313.0
img_0230,0,-1.0,-1.0,-1.0,-1.0
img_0231,1,61.0,160.0,260.0,399.0
img_0232,0,-1.0,-1.0,-1.0,-1.0
img_0233,1,188.0,38.0,403.0,320.0
img_0235,1,150.0,300.0,304.0,481.0
img_0236,0,-1.0,-1.0,-1.0,-1.0
img_0237,0,-1.0,-1.0,-1.0,-1.0
img_0238,1,131.0,22.0,293.0,231.0
img_0239,0,-1.0,-1.0,-1.0,-1.0
img_0240,0,-1.0,-1.0,-1.0,-1.0
img_0241,0,-1.0,-1.0,-1.0,-1.0
img_0242,1,43.0,285.0,190.0,463.0
img_0243,1,46.0,285.0,205.0,489.0
img_0244,1,71.0,107.0,265.0,341.0
img_0245,1,112.0,151.0,323.0,418.0
img_0246,1,244.0,145.0,428.0,372.0
img_0247,0,-1.0,-1.0,-1.0,-1.0
img_0248,1,106.0,133.0,292.0,372.0
img_0249,1,29.0,46.0,259.0,327.0
img_0250,1,290.0,218.0,465.0,438.0
img_0251,1,213.0,165.0,420.0,421.0
img_0253,0,-1.0,-1.0,-1.0,-1.0
img_0254,1,0.0,236.0,200.0,494.0
img_0255,0,-1.0,-1.0,-1.0,-1.0
img_0256,1,97.0,56.0,280.0,286.0
img_0257,1,66.0,144.0,282.0,424.0
img_0260,0,-1.0,-1.0,-1.0,-1.0
img_0261,1,2.0,31.0,170.0,250.0
img_0262,0,-1.0,-1.0,-1.0,-1.0
img_0264,1,303.0,135.0,507.0,388.0
img_0265,1,260.0,116.0,418.0,316.0
img_0266,0,-1.0,-1.0,-1.0,-1.0
img_0267,1,219.0,244.0,424.0,497.0
img_0270,1,0.0,26.0,156.0,231.0
img_0272,0,-1.0,-1.0,-1.0,-1.0
img_0273,1,343.0,113.0,498.0,313.0
img_0274,1,77.0,182.0,249.0,409.0
img_0275,1,94.0,142.0,234.0,317.0
img_0276,1,245.0,28.0,403.0,235.0
img_0277,0,-1.0,-1.0,-1.0,-1.0
img_0278,1,154.0,148.0,345.0,395.0
img_0279,1,252.0,16.0,461.0,284.0
img_0280,0,-1.0,-1.0,-1.0,-1.0
img_0281,1,39.0,337.0,176.0,505.0
img_0282,1,225.0,16.0,449.0,303.0
img_0283,0,-1.0,-1.0,-1.0,-1.0
img_0284,0,-1.0,-1.0,-1.0,-1.0
img_0285,1,282.0,168.0,449.0,374.0
img_0286,0,-1.0,-1.0,-1.0,-1.0
img_0287,1,49.0,189.0,240.0,425.0
img_0288,0,-1.0,-1.0,-1.0,-1.0
img_0289,0,-1.0,-1.0,-1.0,-1.0
img_0290,1,339.0,248.0,499.0,458.0
img_0292,0,-1.0,-1.0,-1.0,-1.0
img_0293,1,84.0,174.0,324.0,467.0
img_0295,0,-1.0,-1.0,-1.0,-1.0
img_0296,0,-1.0,-1.0,-1.0,-1.0
img_0297,0,-1.0,-1.0,-1.0,-1.0
img_0298,1,233.0,156.0,371.0,335.0
img_0299,1,150.0,208.0,388.0,494.0
img_0300,0,-1.0,-1.0,-1.0,-1.0
img_0301,0,-1.0,-1.0,-1.0,-1.0
img_0302,1,117.0,119.0,340.0,396.0
img_0303,0,-1.0,-1.0,-1.0,-1.0
img_0304,0,-1.0,-1.0,-1.0,-1.0
img_0305,0,-1.0,-1.0,-1.0,-1.0
img_0306,0,-1.0,-1.0,-1.0,-1.0
img_0307,1,239.0,94.0,430.0,320.0
img_0308,0,-1.0,-1.0,-1.0,-1.0
img_0309,1,108.0,220.0,280.0,446.0
img_0310,1,348.0,47.0,496.0,237.0
img_0311,0,-1.0,-1.0,-1.0,-1.0
img_0312,1,28.0,259.0,222.0,487.0
img_0313,0,-1.0,-1.0,-1.0,-1.0
img_0316,1,197.0,233.0,349.0,429.0
img_0317,0,-1.0,-1.0,-1.0,-1.0
img_0319,1,176.0,170.0,349.0,391.0
img_0320,1,212.0,3.0,456.0,296.0
img_0322,1,220.0,72.0,376.0,274.0
img_0324,0,-1.0,-1.0,-1.0,-1.0
img_0325,0,-1.0,-1.0,-1.0,-1.0
img_0326,1,28.0,241.0,237.0,501.0
img_0327,1,132.0,24.0,314.0,253.0
img_0328,1,137.0,166.0,349.0,438.0
img_0329,1,82.0,31.0,244.0,226.0
img_0330,1,179.0,246.0,377.0,504.0
img_0331,0,-1.0,-1.0,-1.0,-1.0
img_0332,1,289.0,198.0,485.0,456.0
img_0333,0,-1.0,-1.0,-1.0,-1.0
img_0334,0,-1.0,-1.0,-1.0,-1.0
img_0335,0,-1.0,-1.0,-1.0,-1.0
img_0336,1,200.0,43.0,408.0,295.0
img_0337,1,244.0,0.0,426.0,233.0
img_0338,1,38.0,130.0,242.0,385.0
img_0339,0,-1.0,-1.0,-1.0,-1.0
img_0342,0,-1.0,-1.0,-1.0,-1.0
img_0343,1,171.0,24.0,315.0,202.0
img_0344,0,-1.0,-1.0,-1.0,-1.0
img_0345,0,-1.0,-1.0,-1.0,-1.0
img_0346,0,-1.0,-1.0,-1.0,-1.0
img_0347,0,-1.0,-1.0,-1.0,-1.0
img_0348,1,66.0,79.0,253.0,308.0
img_0349,1,149.0,166.0,354.0,415.0
img_0350,1,325.0,188.0,484.0,373.0
img_0351,0,-1.0,-1.0,-1.0,-1.0
img_0352,0,-1.0,-1.0,-1.0,-1.0
img_0353,0,-1.0,-1.0,-1.0,-1.0
img_0354,1,116.0,158.0,289.0,382.0
img_0358,0,-1.0,-1.0,-1.0,-1.0
img_0359,1,149.0,149.0,345.0,401.0
img_0362,0,-1.0,-1.0,-1.0,-1.0
img_0363,0,-1.0,-1.0,-1.0,-1.0
img_0364,1,110.0,73.0,285.0,285.0
img_0365,1,130.0,138.0,305.0,366.0
img_0366,1,254.0,243.0,452.0,494.0
img_0367,0,-1.0,-1.0,-1.0,-1.0
img_0369,1,240.0,56.0,423.0,292.0
img_0370,0,-1.0,-1.0,-1.0,-1.0
img_0371,0,-1.0,-1.0,-1.0,-1.0
img_0372,1,12.0,35.0,225.0,287.0
img_0375,0,-1.0,-1.0,-1.0,-1.0
img_0376,1,103.0,60.0,324.0,322.0
img_0377,1,139.0,37.0,319.0,273.0
img_0378,0,-1.0,-1.0,-1.0,-1.0
img_0379,0,-1.0,-1.0,-1.0,-1.0
img_0380,0,-1.0,-1.0,-1.0,-1.0
img_0381,0,-1.0,-1.0,-1.0,-1.0
img_0382,0,-1.0,-1.0,-1.0,-1.0
img_0383,1,62.0,167.0,254.0,398.0
img_0384,1,211.0,212.0,406.0,448.0
img_0385,0,-1.0,-1.0,-1.0,-1.0
img_0386,0,-1.0,-1.0,-1.0,-1.0
img_0387,0,-1.0,-1.0,-1.0,-1.0
img_0388,1,129.0,218.0,335.0,471.0
img_0390,0,-1.0,-1.0,-1.0,-1.0
img_0391,0,-1.0,-1.0,-1.0,-1.0
img_0393,0,-1.0,-1.0,-1.0,-1.0
img_0394,0,-1.0,-1.0,-1.0,-1.0
img_0395,1,6.0,56.0,220.0,320.0
img_0396,1,249.0,219.0,413.0,413.0
img_0397,1,210.0,261.0,365.0,452.0
img_0398,1,48.0,80.0,183.0,256.0
img_0399,0,-1.0,-1.0,-1.0,-1.0
img_0403,1,218.0,252.0,414.0,508.0
img_0404,0,-1.0,-1.0,-1.0,-1.0
img_0405,0,-1.0,-1.0,-1.0,-1.0
img_0406,0,-1.0,-1.0,-1.0,-1.0
img_0407,0,-1.0,-1.0,-1.0,-1.0
img_0409,0,-1.0,-1.0,-1.0,-1.0
img_0410,1,64.0,212.0,280.0,471.0
img_0411,0,-1.0,-1.0,-1.0,-1.0
img_0412,0,-1.0,-1.0,-1.0,-1.0
img_0414,1,49.0,160.0,214.0,375.0
img_0415,0,-1.0,-1.0,-1.0,-1.0
img_0416,0,-1.0,-1.0,-1.0,-1.0
img_0418,1,47.0,130.0,185.0,311.0
img_0419,1,190.0,73.0,402.0,345.0
img_0420,1,76.0,10.0,294.0,281.0
img_0421,1,197.0,42.0,414.0,317.0
img_0422,0,-1.0,-1.0,-1.0,-1.0
img_0423,0,-1.0,-1.0,-1.0,-1.0
img_0424,1,79.0,183.0,321.0,487.0
img_0425,1,118.0,58.0,337.0,329.0
img_0426,0,-1.0,-1.0,-1.0,-1.0
img_0428,0,-1.0,-1.0,-1.0,-1.0
img_0429,0,-1.0,-1.0,-1.0,-1.0
img_0430,0,-1.0,-1.0,-1.0,-1.0
img_0431,0,-1.0,-1.0,-1.0,-1.0
img_0432,1,279.0,116.0,506.0,412.0
img_0433,0,-1.0,-1.0,-1.0,-1.0
img_0434,1,113.0,68.0,336.0,342.0
img_0436,1,267.0,249.0,461.0,504.0
img_0438,1,160.0,93.0,395.0,376.0
img_0441,0,-1.0,-1.0,-1.0,-1.0
img_0443,0,-1.0,-1.0,-1.0,-1.0
img_0444,1,45.0,72.0,250.0,325.0
img_0445,1,350.0,71.0,485.0,244.0
img_0446,1,219.0,216.0,353.0,392.0
img_0447,1,17.0,157.0,245.0,453.0
img_0448,1,233.0,162.0,477.0,456.0
img_0449,1,178.0,20.0,355.0,234.0
img_0451,0,-1.0,-1.0,-1.0,-1.0
img_0452,0,-1.0,-1.0,-1.0,-1.0
img_0453,1,50.0,225.0,245.0,465.0
img_0454,0,-1.0,-1.0,-1.0,-1.0
img_0455,1,310.0,150.0,460.0,337.0
img_0456,0,-1.0,-1.0,-1.0,-1.0
img_0457,0,-1.0,-1.0,-1.0,-1.0
img_0458,0,-1.0,-1.0,-1.0,-1.0
img_0459,1,226.0,162.0,462.0,461.0
img_0460,0,-1.0,-1.0,-1.0,-1.0
img_0461,0,-1.0,-1.0,-1.0,-1.0
img_0462,1,100.0,232.0,246.0,423.0
img_0464,0,-1.0,-1.0,-1.0,-1.0
img_0465,0,-1.0,-1.0,-1.0,-1.0
img_0467,0,-1.0,-1.0,-1.0,-1.0
img_0469,1,30.0,29.0,204.0,246.0
img_0470,0,-1.0,-1.0,-1.0,-1.0
img_0473,0,-1.0,-1.0,-1.0,-1.0
img_0474,1,198.0,209.0,422.0,491.0
img_0475,0,-1.0,-1.0,-1.0,-1.0
img_0476,0,-1.0,-1.0,-1.0,-1.0
img_0477,1,95.0,278.0,261.0,477.0
img_0478,0,-1.0,-1.0,-1.0,-1.0
img_0479,0,-1.0,-1.0,-1.0,-1.0
img_0481,0,-1.0,-1.0,-1.0,-1.0
img_0482,1,137.0,24.0,290.0,204.0
img_0483,1,129.0,223.0,341.0,480.0
img_0484,0,-1.0,-1.0,-1.0,-1.0
img_0485,0,-1.0,-1.0,-1.0,-1.0
img_0486,0,-1.0,-1.0,-1.0,-1.0
img_0487,1,199.0,188.0,371.0,406.0
img_0488,1,226.0,187.0,409.0,410.0
img_0489,1,294.0,212.0,439.0,390.0
img_0490,0,-1.0,-1.0,-1.0,-1.0
img_0491,0,-1.0,-1.0,-1.0,-1.0
img_0492,0,-1.0,-1.0,-1.0,-1.0
img_0493,0,-1.0,-1.0,-1.0,-1.0
img_0494,1,166.0,102.0,355.0,329.0
img_0496,0,-1.0,-1.0,-1.0,-1.0
img_0497,0,-1.0,-1.0,-1.0,-1.0
img_0498,0,-1.0,-1.0,-1.0,-1.0
img_0500,0,-1.0,-1.0,-1.0,-1.0
img_0501,1,170.0,72.0,370.0,317.0
img_0502,0,-1.0,-1.0,-1.0,-1.0
img_0503,1,154.0,114.0,311.0,315.0
img_0504,1,236.0,213.0,403.0,425.0
img_0505,1,35.0,129.0,264.0,402.0
img_0507,1,203.0,1.0,427.0,283.0
img_0508,1,166.0,73.0,399.0,353.0
img_0509,0,-1.0,-1.0,-1.0,-1.0
img_0510,0,-1.0,-1.0,-1.0,-1.0
img_0511,1,232.0,218.0,391.0,407.0
img_0512,1,191.0,205.0,419.0,486.0
img_0513,0,-1.0,-1.0,-1.0,-1.0
img_0514,1,203.0,152.0,378.0,367.0
img_0515,0,-1.0,-1.0,-1.0,-1.0
img_0516,1,360.0,174.0,509.0,351.0
img_0518,1,75.0,35.0,240.0,234.0
img_0519,0,-1.0,-1.0,-1.0,-1.0
img_0520,0,-1.0,-1.0,-1.0,-1.0
img_0521,1,132.0,280.0,310.0,508.0
img_0522,1,183.0,184.0,415.0,461.0
img_0523,1,75.0,78.0,206.0,248.0
img_0524,1,12.0,201.0,197.0,435.0
img_0525,1,187.0,271.0,377.0,499.0
img_0526,0,-1.0,-1.0,-1.0,-1.0
img_0527,0,-1.0,-1.0,-1.0,-1.0
img_0528,0,-1.0,-1.0,-1.0,-1.0
img_0529,1,159.0,18.0,346.0,260.0
img_0530,0,-1.0,-1.0,-1.0,-1.0
img_0531,0,-1.0,-1.0,-1.0,-1.0
img_0532,1,199.0,43.0,356.0,234.0
img_0533,0,-1.0,-1.0,-1.0,-1.0
img_0535,0,-1.0,-1.0,-1.0,-1.0
img_0536,1,59.0,127.0,302.0,431.0
img_0537,1,258.0,270.0,440.0,487.0
img_0540,0,-1.0,-1.0,-1.0,-1.0
img_0542,0,-1.0,-1.0,-1.0,-1.0
img_0543,1,195.0,200.0,421.0,474.0
img_0544,1,182.0,181.0,378.0,415.0
img_0545,1,22.0,94.0,196.0,314.0
img_0547,0,-1.0,-1.0,-1.0,-1.0
img_0548,1,99.0,16.0,300.0,279.0
img_0549,0,-1.0,-1.0,-1.0,-1.0
img_0550,0,-1.0,-1.0,-1.0,-1.0
img_0551,1,135.0,64.0,294.0,269.0
img_0552,0,-1.0,-1.0,-1.0,-1.0
img_0554,0,-1.0,-1.0,-1.0,-1.0
img_0556,0,-1.0,-1.0,-1.0,-1.0
img_0557,0,-1.0,-1.0,-1.0,-1.0
img_0558,1,162.0,180.0,361.0,439.0
img_0559,1,189.0,238.0,372.0,478.0
img_0561,0,-1.0,-1.0,-1.0,-1.0
img_0563,1,339.0,236.0,480.0,421.0
img_0564,1,83.0,114.0,235.0,303.0
img_0565,1,74.0,90.0,304.0,374.0
img_0569,1,247.0,226.0,422.0,442.0
img_0570,1,40.0,94.0,176.0,267.0
img_0572,1,200.0,199.0,417.0,484.0
img_0573,1,84.0,212.0,257.0,418.0
img_0574,1,331.0,154.0,471.0,338.0
img_0575,1,138.0,160.0,332.0,402.0
img_0576,0,-1.0,-1.0,-1.0,-1.0
img_0577,0,-1.0,-1.0,-1.0,-1.0
img_0578,0,-1.0,-1.0,-1.0,-1.0
img_0579,0,-1.0,-1.0,-1.0,-1.0
img_0580,0,-1.0,-1.0,-1.0,-1.0
img_0581,0,-1.0,-1.0,-1.0,-1.0
img_0583,0,-1.0,-1.0,-1.0,-1.0
img_0586,1,294.0,229.0,501.0,486.0
img_0587,1,107.0,25.0,348.0,315.0
img_0588,0,-1.0,-1.0,-1.0,-1.0
img_0589,1,144.0,82.0,326.0,321.0
img_0590,0,-1.0,-1.0,-1.0,-1.0
img_0592,1,102.0,28.0,243.0,212.0
img_0593,1,88.0,111.0,303.0,382.0
img_0594,0,-1.0,-1.0,-1.0,-1.0
img_0595,0,-1.0,-1.0,-1.0,-1.0
img_0596,1,193.0,103.0,360.0,303.0
img_0598,1,268.0,257.0,458.0,504.0
img_0600,1,264.0,50.0,426.0,262.0
img_0601,1,70.0,85.0,228.0,276.0
img_0602,0,-1.0,-1.0,-1.0,-1.0
img_0603,1,116.0,91.0,330.0,357.0
img_0604,1,189.0,199.0,403.0,470.0
img_0605,0,-1.0,-1.0,-1.0,-1.0
img_0606,1,2.0,61.0,195.0,290.0
img_0607,1,3.0,112.0,175.0,330.0
img_0609,1,272.0,196.0,507.0,493.0
img_0610,0,-1.0,-1.0,-1.0,-1.0
img_0611,0,-1.0,-1.0,-1.0,-1.0
img_0612,1,259.0,12.0,431.0,233.0
img_0613,0,-1.0,-1.0,-1.0,-1.0
img_0614,1,41.0,45.0,268.0,326.0
img_0616,1,143.0,270.0,328.0,492.0
img_0618,0,-1.0,-1.0,-1.0,-1.0
img_0621,1,18.0,136.0,192.0,356.0
img_0622,0,-1.0,-1.0,-1.0,-1.0
img_0623,0,-1.0,-1.0,-1.0,-1.0
img_0624,0,-1.0,-1.0,-1.0,-1.0
img_0628,1,257.0,124.0,410.0,318.0
img_0629,0,-1.0,-1.0,-1.0,-1.0
img_0630,0,-1.0,-1.0,-1.0,-1.0
img_0631,1,165.0,181.0,358.0,413.0
img_0635,1,333.0,102.0,503.0,321.0
img_0636,1,75.0,128.0,275.0,379.0
img_0637,0,-1.0,-1.0,-1.0,-1.0
img_0638,0,-1.0,-1.0,-1.0,-1.0
img_0640,1,331.0,181.0,494.0,379.0
img_0641,0,-1.0,-1.0,-1.0,-1.0
img_0642,1,195.0,31.0,420.0,309.0
img_0643,1,129.0,238.0,305.0,450.0
img_0644,1,235.0,45.0,436.0,308.0
img_0645,0,-1.0,-1.0,-1.0,-1.0
img_0646,1,193.0,272.0,355.0,465.0
img_0647,0,-1.0,-1.0,-1.0,-1.0
img_0648,0,-1.0,-1.0,-1.0,-1.0
img_0651,1,39.0,63.0,243.0,323.0
img_0652,1,239.0,214.0,461.0,501.0
img_0654,1,27.0,74.0,217.0,320.0
img_0655,1,220.0,122.0,397.0,353.0
img_0656,1,50.0,20.0,247.0,277.0
img_0657,1,142.0,85.0,356.0,366.0
img_0658,1,129.0,144.0,351.0,419.0
img_0662,0,-1.0,-1.0,-1.0,-1.0
img_0663,1,195.0,40.0,425.0,327.0
img_0664,1,250.0,37.0,494.0,340.0
img_0665,1,246.0,114.0,486.0,402.0
img_0666,1,94.0,242.0,293.0,492.0
img_0667,0,-1.0,-1.0,-1.0,-1.0
img_0670,1,14.0,153.0,185.0,377.0
img_0671,1,78.0,25.0,248.0,242.0
img_0673,1,53.0,176.0,233.0,412.0
img_0674,1,66.0,43.0,289.0,335.0
img_0675,0,-1.0,-1.0,-1.0,-1.0
img_0676,0,-1.0,-1.0,-1.0,-1.0
img_0677,0,-1.0,-1.0,-1.0,-1.0
img_0680,0,-1.0,-1.0,-1.0,-1.0
img_0681,0,-1.0,-1.0,-1.0,-1.0
img_0682,0,-1.0,-1.0,-1.0,-1.0
img_0683,1,52.0,271.0,212.0,472.0
img_0685,1,305.0,119.0,478.0,347.0
img_0686,1,91.0,219.0,244.0,418.0
img_0687,0,-1.0,-1.0,-1.0,-1.0
img_0688,1,118.0,78.0,291.0,305.0
img_0689,0,-1.0,-1.0,-1.0,-1.0
